,,,,,,,,,
Qty,Value,Device,Package,Parts,Description,MANUFACTURER,MFR_PN,PROD_ID,VALUE
2,CSD87331Q3D,TRANS_DUAL_NFET_HALF-BRQ3D,SON8_3.3X3.3_TI,"Q16, Q19","Dual n-chan MOSFETs half-bridge config, i.e. TI NexFET",TI,CSD87331Q3D,,
3,CSR1206FK25L0,R-US_R1206,R1206,"R153, R155, R169","RESISTOR, American symbol",Stackpole,CSR1206FK25L0,,
2,DF11-10DP-2DSA(01),DF11-10DP-2DSA(01),DF11-10DP-2DSA,"J1, J47",CONN HEADER 10POS 2MM PCB GOLD,,,,
2,DNP,R-US_R0603,R0603,"R202, R203","RESISTOR, American symbol",,,,
1,DNP,STPS0540Z,SOD-123,D2,"Schottky diode 0.4V@0.5A 40Vrr, low Irr",,,,
1,DNP,UX60-MB-5ST,UX60,J40,CONN RECEPT MINI USB2.0 5POS,,,,
1,FDC6324L,FDC6324L,SSOT-6,Q5,IC LOAD SWITCH INT 20VIN SSOT-6,,,,
1,FDC6330L,FDC6330L,SSOT-6,Q2,"IC LOAD SWITCH INT 20VIN SSOT-6, 80mOhm, 2.5A",,,,
2,FDN352AP,FDN352AP,SOT-23,"Q22, Q23",MOSFET P 30V 1.3A 180mOhm@-10V,,,,
1,FH12-10S-0.5S1.00MM,FH12-10S-0.5S1.00MM,CON-FPC-1.0MM-10POS,X1,0.5mm Pitch Connectors For FPC/FFC,,,,
1,FT232RL,FT232RL,SSOP28DB,IC18,USB 2.0 to RS232 transfer interface IC,,,,
3,HI1206T500R-00,L-1206,1206,"L1, L2, L17",,,,,
2,HI1812V101R-10,L1812,L1812,"L15, L16","Inductor, two pin",Laird,HI1812V101R-10,,
1,HRXL-MAXSONAR-WRC-MB7387,HRXL-MAXSONAR-WRC-MB7387,HRXL-MAXSONAR-WRC-MB7387,U2,,,,,
4,IPD30N06S2L-23,IPD30N06S2L-23,TO252,"Q8, Q9, Q20, Q21",MOSFET-N 55V  30A 0.023ohm,,,,
1,ISL60002DIH325Z-TK,ISL60002DIH325Z-TK,SOT-23,IC1,Precision Low power V ref. Iq=350nA Vout=2.5V,,,,
6,LED-GR,LED-0805,0805-POL,"D7, D8, D17, D19, D23, D24",,,,,
1,LM3405AXMK/NOPB,LM3405AXMK/NOPB,SOT23-6,IC9,IC LED DRVR HP CONST TSOT23-6,,,,
1,LM75ADP,LM75ADP,TSSOP08-3,IC5,Digital temperature sensor and thermal watchdog,,,,
2,LTC1771EMS8,LTC1771EMS8,MSOP-08,"IC20, IC21",Hi efficiency DCDC step down,,,,
1,LTC1955,LTC1955,LFCSP_5X5_032,U1,Dual Smart Card interface with Serial control,,,,
1,M25P16-VMN6P,M25P16-VMN6P,SO-08,IC8,16Mbit low voltage SPI Flash,,,,
1,MCP6022-I/ST,MCP6022-I/ST,TSSOP8,IC19,OPAMP 10MHz  Vofset=0.5V,,,,
1,NRS8030T150MJGJ,NRS8030T150MJGJ,NRS8030,L3,Inductor power 150: 15uH 2.2A,,,,
1,OPA322SAIDBVT,IC_TI_OPA322SAIDBV,SOT23-6,U9,TI OPA322S opamp with shutdown,TI,TPA322SAIDBV,,
1,P6SMB16A,P6SMB16A,SMB,D32,"TVS Unidirectional 13.6V, 15.2-16.8V breakdown",,,,
1,PCF2123TS/1-T,PCF2123TS/1-T,TSSOP014,IC7,RTC chip low power,,,,
1,PIC10F200T-I/OT,PIC10F200T-I/OT,SOT23-6,IC4,IC MCU Flash 256B of FLASH,,,,
1,PIC24FJ256GA110-I/PT,PIC24FJ256GA110-I/PT,SQFP-S-12X12-100,IC3,PIC24FJ256GA110,,,,
4,PMEG3030BEP,PMEG3030BEP,SOD-128,"D4, D20, D22, D30",DIODE SCHOTTKY 30V 3A SOD128,,,,
1,SER2013-472MLD,LSER20XX,L_SER20XX,L11,"Inductor, two pin",Coilcraft,SER2013-472ML,,
2,SI4564DY,SI4564DY,SO-08,"Q15, Q18",MOSFET N/P-CH 40V 10A 8SOIC,,,,
2,SMAJ26A,SMAJ5.0A,SMA,"D9, D21",TVS 400W 5.0 Breakdown 6.40-7.25V,,,,
1,SMAJ5.0A,SMAJ5.0A,SMA,D28,TVS 400W 5.0 Breakdown 6.40-7.25V,,,,
1,SMLVT3V3,SMLVT3V3,SMA,D27,TVS 600W 4.1 Breakdown,,,,
1,SN65HVD12D,SN65HVD3082ED,SO08,IC2,RS-422/485 TRX 1RX 1TX,,,,
1,SR3.3.TCT,SR05.TCT,SOT-143,Q3,IC TVS ARRAY 2-LINE 5V SOT-143,,,,
1,SRR1280-150M,LSRR1280,L_SRR1280,L12,"Inductor, two pin",Bourns,SRR1280-1x0M,,
2,SS-6566-NF,SS-6566-NF,SS-6566-NF,"J7, J9",AMP CONNECTOR,,,,
4,SS14,SS14,SMA,"D5, D6, D25, D26",Diode schottky If=1A,,,,
2,"SSM6P49NU,LFPZ","SSM6P49NU,LFPZ",MICRO_FET,"Q1, Q7","MOSFET P-CH DUAL 30V UDFN6, 4A, 20V",,,,
6,STANDOFF_ELECTRICAL,STANDOFF_ELECTRICAL,STANDOFF-ELECTRICAL,"H1, H2, H3, H4, H5, H6",Stand Off,,,,
2,STPS0540Z,STPS0540Z,SOD-123,"D3, D29","Schottky diode 0.4V@0.5A 40Vrr, low Irr",,,,
1,TCJB157M006R0045,C-POL-3528,3528-POL,C156,,,,,
8,TP0.8,TP0.8,TP_0.8,"TP61, TP62, TP63, TP64, TP65, TP66, TP67, TP68",Testpad hole 0.8mm (32mil),,,,
1,TPA3111D1PWP,IC_TI_TPA3111D1PWP,TSSOP28_EP,U8,TI TPA3111D1 amp,TI,TPA3111D1PWP,,
2,TPS43061,IC_TI_TPS43061RTE,QFN16_3X3_EP,"U6, U7",TI TPS43061 boost converter,TI,TPS43061RTE,,
1,TP_0812,TP_0812,TP_0.8_1.2,TP12,Testpad hole 0.8mm (32mil),,,,
2,TSM9938HEUK+T,TSM9938HEUK+T,SOT23-5,"Q14, Q17",IC OPAMP CURRENT SENSE SOT23-5,,,,
1,TSW-108-07-G-D,MA08-2,MA08-2,J8,,,,,
1,dnp,C-0603,603,C34,,,,,
